ID_project;ID_tot;category;id;degree;course;ay;school;school_website;IMMAGINI;Polarità;PIAZZATO;title;subtitle;description;old_description;team;faculty;project_website;Video;Link Video;hasVideo;video_link;Column 17;
FDV_FEW_3;FDV_FEW_3;FEW;3;Bachelor Degree;Design Thinking and Product Innovation;2024;Guangzhou Academy of Fine Arts,  DaVinci Innovation Academy, Guangzhou, China;https://www.gzarts.edu.cn/index.htm;Project 02;For-Few / For-All;Y;CREAJOR ;A Drawing Tool For Visually Impaired People;CREAJOR is an interactive design tailored to the drawing and reading habits of visually impaired students. Students can perceive images by touching a display screen with raised dots, supplemented by shortcut keys with voice prompts. These features cater to visually impaired people’s reliance on touch and hearing. Moreover, it includes an option to facilitate writing as well. To enable visually impaired students to draw freely, a user-friendly design, equipped with functional buttons aid in drawing and annotating with ease and precision. The CREAJOR pen utilizes an optical translation measurement sensor, allowing it to draw on any flat surface. The results are displayed in real-time on the dot matrix display screen, breaking spatial limitations and providing an enhanced drawing experience. A numeric keypad quantifies line lengths for precise drawing, while the pen’s unique triangular shape prevents it from rolling away. Additionally, its magnetic feature ensures the pen is always secure and within reach.;;Jin Wang, Ningning Zheng, Qian Luo;Xun Gao, Zaixing Liu, Li Gu, Zeqiang Yuan;;;;file;;;
FDV_FEW_4;FDV_FEW_4;FEW;4;Bachelor in Design;Capstone Project;2024;The University of Auckland - Waipapa Taumata Rau, Faculty of Engineering and Design, Auckland, New Zealand;https://www.auckland.ac.nz/en/creative/about-the-faculty/design-programme.html;Project 01;For-Few / For-All;;Raranga;Weaving Our Tangata Tiriti Journeys;Raranga is an educational gamified toolkit developed to equip kaimahi (employees) with the skills and knowledge to assist them as on their Tangata Tiriti (treaty partnership) journeys with the ultimate goal of improving Māori workplace satisfaction for better systemic outcomes. The kēmu (game) centers learning through collaboration, reflecting the traditional Māori art of Raranga (weaving). The practice weaves together individual strands of harakeke to create something stronger, symbolising the collective journey towards understanding and embodying Te Tiriti. Raranga breaks down the hierarchical power dynamics that exist within workplaces, creating a safe environment for collaboration and knowledge sharing.;;Leah Kampkes;Diana Albarran Gonzalez, Mairi Gunn, Ayla Hoeta, Gabriela Baron, Xin Cheng;https://redesign.ac.nz/projects/raranga-weaving-our-tangata-tiriti-journeys;NO, but the student could make one;;file;;;
FDV_FEW_5;FDV_FEW_5;FEW;5;Bachelor's Degree Program in Design;;2024/2025;Universidade Europeia, IADE, Lisbon, Portugal;https://www.iade.europeia.pt/;Mole;For-Few / For-All;;Mole;A Practical Kitchen;Mole consists of a kitchenware collection that combines functionality and aesthetic simplicity, reflecting contrasting ideas of exclusivity and accessibility. The design highlights the balance between personal, human-scale usability and broader considerations of sustainability and shared use. With minimalist forms, natural materials, and versatile finishes, the collection invites reflection on how objects can serve both individual needs and collective aspirations, blending elegance with practicality for everyday living.;;Sara Saramago, Inês Gama;João Bernarda, Pedro Oliveira, Miguel Soeiro;;;;;;;
FDV_FEW_6;FDV_FEW_6;FEW;6;Master of Design;Sustainable Solution Workshop;2023/2024;Illinois Tech, Institute of Design, Chicago, IL, United States of America;https://www.sustainablesolutions.design/    https://id.iit.edu/;Embedded Finance for a Cashless Society;For Few / For All;;Embedded Finance for a Cashless Society;Empowering Communities through Financial Systems;Embedded Finance for a Cashless Society explores how design can navigate exclusivity and inclusivity in embedded finance by creating flexible systems that broaden access while addressing unique needs. Inclusive design in a cashless society means balancing the accessibility of digital services with protections for those lacking digital access, bridging the gap for marginalized groups. By fostering alternative pathways, such as mobile banking and community-supported profiles, design mitigates disparities, ensuring financial tools are not only available but also adaptable, nurturing equity without reinforcing privilege.;;Avani Chaturvedi, Michael Ho, June Kulwadee Pruksananonda, Grace Parks Hall, Sanya Shah;Carlos Teixeira, Deaa Bataineh;https://www.sustainablesolutions.design/2024-embedded-finance-for-cashless-society;;;;;;
FDV_HAR_1;FDV_HAR_1;HAR;1;BA Interior Design;;2024;Latvian Art Academy, Faculty of Design, Riga, Latvia;https://www.lma.lv/en;Project 01;Harmony / Discord;;CVm2 ;Two Houses in Cēsis: Dolomite and Clay;CVm2 is a project continually shaped by contrasts, starting from the relationship between historical heritage and its role today, the clash of foreign memories and new experiences, and the tension between construction and destruction. The project focuses on repurposing the remnants of buildings bombed in 1944 consisting essentially exterior walls, one made of dolomite and the other of red brick, that were adapted for economic use in the post-war period, according to available resources. The sheds have now outlived their purpose, and the time has come to restore one of them to a residential function, while the other is to be introduced to that role. The study of construction materials, clay and dolomite, evolved into two interior concepts: Clay and Dolomite. The Clay plans to restore the shed’s residential function by creating two 34.5 m² rental apartments, while the Dolomite building will host a “holiday home” for families, with four levels for four people, resulting in s a space where communal living coexists with individual autonomy.;;Ieva Skuja-Zelča;Andra Šmite;https://www.fold.lv/en/2024/07/design-graduates-ieva-skuja-zelca/;;;;;;
FDV_HAR_2;FDV_HAR_2;HAR;2;MSc Interior and Spatial Design;Landscape and Interior - Spatial Design 2;2023/2024;Politecnico di Milano, School of Design, Milan, Italy;www.design.polimi.it;FDV_HAR_2;Harmony / Discord;;Courage is BREAKING THE BARRIERS;Design is Courage;Courage is BREAKING THE BARRIERS investigates barriers as sources of ambiguous attraction, tangling between the fear of pushing beyond them and the unrestrained desire of going further. In front of physical or mental barriers, the unknown and the desire to understand what goes beyond the immediate understanding raises a deep emotional response, often ambivalent. When barriers seem insurmountable, it might be just a small detail the one that allows you to go beyond. Such a small but game changing detail takes the shape of a refined play of joints combined with the lightness of the painted rice paper without any interference and with no aids, compose the main structure of the installation, leveraging one of the most archaic construction systems: the wedge. An act of courage is needed to unveil what’s beyond the barrier. One needs to bow, entering in a reserved and gathered dimension where a measured structure helps face adversity and four paper-thin suspended barriers protect and guide the visitor towards a bright monolith, accompanied by reasoned yet imprecise lines.;;Asia Bernardo, Fabiana Cosentino, Clara Maria Fabbri, Luca Rebonato;Michele De Lucchi, Francesca Balena Arista, Marco De Santi, Francesco Clerici, Giada Boromello, Nicolò Chierichetti, Alessia Soressi;;;;;;;
FDV_HAR_3;FDV_HAR_3;HAR;3;MA Graphic Design and Visualisation;;2024;Loughborough University, School of Design and Creative Arts, Loughborough, United Kingdom; https://www.lboro.ac.uk/ ;Project 01;Harmony / Discord;;Re-Viewing the Gaze;Unveiling Polarized Views on Gender, Sex, and Sexuality;Re-Viewing the Gaze challenges the polarized constructions of gender and identity, by critiquing expected societal norms and biases. Employing an interactive exhibition design, the cognitive tension between opposing worldviews is explored. This provokes viewers to rethink their rigid expectations, through facilitated visual and narrative means. The project asks viewers to actively shift their gaze, revealing the cognitive dissonance which would usually blind them to alternative thought.;;Jo Flint ;Simon Downs, Alis Iacob ;https://josflint.github.io/RE-VIEWING_THE_GAZE/;NO;;;;;
FDV_HAR_4;FDV_HAR_4;HAR;4;Bachelor of Interior Design (Honours);Research Major Project;2024;RMIT University, School of Architecture and Urban Design, Melbourne / Naarm , Australia;https://rmitinteriordesign.website/;Project 02;Harmony / Discord;;Commonplace;Spatial Tactics for the Urban Interior;Commonplace, a non-profit center for tactical urbanism, aims at resisting capitalist frameworks by amplifying the contributions of laborers whose efforts sustain from the boundaries. Using disobedient guerrilla tactics, it defines the urban interior as a collective common. Materialist culture, driven by relentless innovation, places the 1% at the center, relegating the 99% to the boundary. Commonplace urges a shift from self-interest to common interest, advocating for participation, agency, and acts of resistance to catalyze a care movement.;;Olivia Reiher;James Carey;;YES -  3:06;https://www.youtube.com/watch?v=it72xjkqfkc;youtube;it72xjkqfkc;;
FDV_HAR_5;FDV_HAR_5;HAR;5;Industrial Design - Spatial Design Specialization;Eco Conception;2024;STRATE, Sevres, France;https://www.strate.design/;VESTIGES;Harmony / Discord;;Vestiges;Archaeology of Skiing;With the imminent end of skiing, the mountains are being transformed into a journey through time. Vestiges reinvents these snowless landscapes by transforming the remnants of the 60s into an immersive adventure. Hikers will discover a new way of experiencing the mountains, combining simplicity and sobriety. This unique itinerary, far removed from conventional “hotel” refuges, introduces beginners to the wonders of nature and teaches them to respect the environment. It’s a new way of rediscovering the mountains, where every step tells a story and every view inspires.;;Martin Caillaut;Anne Bugugnani, Chloe Louisin;https://drive.google.com/file/d/1rUYFUfjLrIh5NSzUD3BqLr2kLP6TNGnY/view?usp=sharing;;;file;;;
FDV_HAR_6;FDV_HAR_6;HAR;6;BSc Interior Design;Final Synthesis Design Studio - Sect. 4;2024/2025;Politecnico di Milano, School of Design, Milan, Italy;www.design.polimi.it;DIVERSO DA ZERO - IRENE;Harmony / Discord;;Diverso da Zero;Disturbing Design;Diverso da Zero redesigns the square of Pieve del Cairo (Pavia) starting from an extraordinary event: a “splinter rain” that transformed the space. The disturbance created by the splinter rain became the starting point for creating dynamic and innovative spaces. Using sustainable materials such as rice waste fabric and rice fiber, environments that stimulate sociality and interaction were designed. New spatial functions, including play areas, art academies and community areas, turn the square into a unique space where citizens can live engaging experiences.;;Matilde Casadei, Alberto Distefano, Francesco Detomaso, Irene Dominici;Anna Anzani, Davide Crippa, Barbara Di Prete, Giacomo Attilio Carlo Gatti, Emilio Lonardo;;;;;;;
FDV_HUM_1;FDV_HUM_1;HUM;1;Bachelor's Degree;;2023/2024;Academy of Fine Arts in Warsaw, Faculty of Design, Warsaw, Poland;https://asp.waw.pl/;Project 03;Human  /  More Than Human;;Bio-diverse Enclaves;Returning Urban Spaces to the Local Biocenose;Bio-diverse Enclaves are spaces meant for the non-human residents of Warsaw. Its existence is made possible through bottom-up citizen initiatives and its construction does not require expertise in building or design. Made of a clay-composite, it enters into a relation with local organisms and is in turn shaped by them and the environment: the resultant cracks and crevices can be colonized by plants and invertebrates, the top of the structure can be a place for birds to rest and feed. The project is a space in which the work of humans can be given over to non-humans, and the dichotomy separating natural and artificial can be blurred.;;Zuzanna Szymłowska;Wojciech Małolepszy;;YES - 0:31;https://www.youtube.com/watch?v=eJ64zP5XEO8;youtube;eJ64zP5XEO8;;
FDV_HUM_2;FDV_HUM_2;HUM;2;Bachelor Degree;Capstone Project;2023;Guangzhou Academy of Fine Arts, School of Innovation Design, Guangzhou, China;https://www.gzarts.edu.cn/;Symbiotic Link;Human  /  More Than Human;Y;Symbiotic Link;Green Community Design for Oxygenated Microalgae;"Based on the exploratory construction scenario of the Tencent “Qi'e Island Future City"" project, Symbiotic Link focuses on soilless green plant cultivation and sustainable development in smart communities. 
By combining environmental science with social co-creation, Symbiotic Link leverages microalgae with efficient oxygen production performance as its core carrier, while also serving a green plant installation with viewing, resting, and social functions. Overall it is a systems of three elements: a spiritual cultivation algae bioreactor, an air purification system, and a visual air quality monitoring system, based on a simple to assemble structure that can adapt to different environments.";;Zizhen He;Zaixing Liu, Xun Gao, Li Gu, Zeqiang Yuan;;;;file;;;
FDV_HUM_3;FDV_HUM_3;HUM;3;BSc Industrial Design Engineering;Product Design;2023/2024;Kaunas University of Technology, Faculty of Mechanical Engineering and Design, KTU Design Centre, Kaunas, Lithuania;https://fmed.ktu.edu/dc/;Biodivercities II;Human  /  More Than Human;Y;Biodivercities II;Bringing Back Wilderness in Urban Regenerated Green Areas;Biodivercities II wants to address a growing global issue: the decline of insect pollinators in urban areas. Rapid urbanization and large-scale agriculture reduce food sources and nesting areas, threatening wild insects. Nonetheless, humans depend on biodiversity for clean air, water, and food, and cities can support insects by creating wildlife areas within their boundaries. Biodivercities II promotes urban biodiversity through an educational DIY toolkits for nesting sites.;;Justina Klėjūtė, Niccolò Lelli, Kotryna Lenkauskaitė, Hari Prasanna, Justė Motuzaitė, Giuseppe Donvito;Lorenzo Piazzi;;NO;;;;;
FDV_HUM_4;FDV_HUM_4;HUM;4;BSc Industrial Design Engineering;Bionics and Biomimicry in Design;2024;Kaunas University of Technology, Faculty of Mechanical Engineering and Design, KTU Design Centre, Kaunas, Lithuania;fmed.ktu.edu/dc;Super-humans II;Human  /  More Than Human;Y;Super-humans II;Is This a Machine Mistake, or Just Another Design?;"AI is striving to bridge the gap, yet it has not yet reached a level of development capable of bringing significant improvements to our daily lives at least not in the way biological intelligence already does in crucial fields such as nutrition, protection, and mobility. The so-called ""Datacene"" era is still far from becoming a reality, and this is not merely due to the relatively small amount of stored data that AI processes to learn. Territories within these blurred areas represent a stimulating theme for design and technology-related investigations. Super-humans II gives shape to a conversation that happened over a period of six months, born from a brainstorming and nature-exploration session with students in the natural reserve of Nida, on the Curonian Lagoon and later shared with generative parametric design software through prompting and iterations.";;Corrado Franceschini, Eugenija Tereščenko;Lorenzo Piazzi;;;;;;;
FDV_HUM_5;FDV_HUM_5;HUM;5;BA Interaction Design ;Interaction Design Studio;2024;National College of Art and Design (NCAD), Department of Product Design, Dublin, Ireland;https://www.ncad.ie/;Project 02;Human  /  More Than Human;Y;Plánta;Community Powered Coastal Protection;Coastal erosion is destroying homes all around Ireland. Communities struggle for coastal protection options that are attainable and respect biodiversity laws. Marram grass planting, a proven solution, has protected the town of the Maharees in the West of Ireland since 2016. Plánta provides the knowhow & community management capabilities of the Maharees community to all communities in Ireland, through programs that balance the needs of communities with biodiversity and regulation and allowing individuals to organize collective action for the betterment of both human, plant and animal life.;;Jack Brady;Jennifer Groarke, Marcus Hanratty, Sam Russell;https://readymag.website/u1772937991/4650793/planta/;YES - 1:19;https://youtu.be/2DmWAQN7HtY?si=TIsNITCe1LShu6ni;youtube;2DmWAQN7HtY;;
FDV_HUM_6;FDV_HUM_6;HUM;6;Bachelor Degree;Graduation Project: Sound Landscape;2024;Tongji University, College of Design and Innovation, Shanghai, China;http://tjdi.tongji.edu.cn ;Rhythmic community design for aging activities;Human  /  More Than Human;;Rhythmic Design for Aging Communities;The Anshan Community Example;Rhythmic Design for Aging Communities explores, through sound walking, the ever-changing sound environment of the Anshan community. Focusing particularly on the typical lifestyle of the elderly, it revealed their need for sound information during outdoor exercise activities. Based on the elderly's demand for structured activity patterns, a beat was identified as the key intervention point within the soundscape. To realize this concept, four physical sound devices, integrated with public fitness equipment, and three interactive sound devices were designed, establishing a prototype for a sports beat. To further harmonize the spatial soundscape, the project gathered sound materials from within the community. After rearranging and producing these sounds, they were used to create a unique sound for the “beat community,” designed to help the elderly establish exercise routines through sound, enhance fitness recovery, and draw attention to the specific hearing needs of this group.;;Yijie Gan;Simin Tao, Zhao Liu;;YES - 3:05;https://www.dropbox.com/scl/fi/2lojw7f24dx4actya0ehu/BEAT-OF-THE-STREET.mp4?rlkey=viv2ug2qjslz529yydx58lry0&st=z30eb6gn&dl=0;file;https://www.dropbox.com/scl/fi/2lojw7f24dx4actya0ehu/BEAT-OF-THE-STREET.mp4?rlkey=viv2ug2qjslz529yydx58lry0&st=z30eb6gn&dl=0;;
FDV_HUM_7;FDV_HUM_7;HUM;7;MSc Interior and Spatial Design;Interdisciplinary Workshop;2023/2024;Politecnico di Milano, School of Design, Milan, Italy;www.design.polimi.it;44_Hygrow;Human  /  More Than Human;Y;Hygrow;Water the Pot, Not the Plant!;HYGROW is a ceramic pot aiming at saving water and simplifying plant care. Designed to address water waste, air pollution and low sustainability awareness, HYGROW changes the way plants are watered by pouring water into the pot’s cavity rather than directly on the plant. The cavity contributes to creating a microclimate that mimics how plants naturally absorb water from the soil. /n To enhance biophilia, low-maintenance plants studied by NASA to purify air from pollutants were identified as ideal for the product. Additionally an NFC tag interaction within the pot connects users to the website where they can learn about product’s benefits and access plant care tips.;;Laura Fajenza, Gaia Foschini, Leonora Melli;Elena Mariele Elgani;https://www.figma.com/proto/2oLZr2G6BUMXRrOL7RTg8w/HYGROW_Website?page-id=0%3A1&node-id=2-100&p=f&viewport=742%2C892%2C0.32&t=CJf9lJZJ6Ke2aE5p-1&scaling=scale-down&content-scaling=fixed&starting-point-node-id=2%3A100;YES - 0:12;https://drive.google.com/file/d/1Wr2bJ4G5tiMgfsuEKXn8JQSsyHKBCEpQ/view?usp=sharing;file;https://drive.google.com/file/d/1Wr2bJ4G5tiMgfsuEKXn8JQSsyHKBCEpQ/view?usp=sharing;3318506842 Leonora;
FDV_HUM_8;FDV_HUM_8;HUM;8;Bachelors of Design;;2024;The Design Village, Noida, India;https://www.thedesignvillage.org/;FDV_HUM_8;Human  /  More Than Human;;Hyac;Transforming Invasiveness Into Innovation;Excessive water hyacinth growth in swamps is the cause of ecosystems disruption as well as environmental and economic challenges. To address such issues, Hyac is a bio-based material from water hyacinth, transforming an ecological conflict into opportunity by repurposing invasive plants into resources. By curating landscapes and mitigating negative impacts, the project’s outcome is a regenerative cycle of biomaterials that fosters harmony, balances human needs, and promotes ecological care.;;Aryaman Bhargava;Gaurav MK Wali;;;;;;;
FDV_HUM_9;FDV_HUM_9;HUM;9;BSc Product Design;Metadesign - Studio (P4);2024/2025;Politecnico di Milano, School of Design, Milan, Italy;www.productdesign.polimi.it/laurea-triennale/;23_Squeak;Human  /  More Than Human;Y;SQUEAK;For Your Rabbit;Squeak is a product designed for rabbits rather than their human owners. Born out of the sentence “less for better”, Squeak is a product that allows anyone who owns a rabbit to integrate vitamins and fibers deriving from food waste (vegetable and fruit peelings) in their little friend’s diet. /n Squeak helps humans reducing food waste, while being an alternative kind of entertainment for rabbits, bringing together perks for both humans and their more than human pet friends.;;Andrea Crippa, Michelangelo De Baggis, Davide Perencin, Dorian Plugaru;Daniela Maurer, Marina Parente, Carla Sedini;;YES - 0:45;https://youtu.be/epd0wGCY-6E;youtube;epd0wGCY-6E;Michelangelo 3479181174;
FDV_IND_1;FDV_IND_1;IND;1;Master's Degree - Designer in Sustainable Innovation;Diploma Project ;2024;BESIGN The Sustainable Design School, Nice, France;https://besignschool.com/;Living Tomorrow;Individual / Collective;;Living Tomorrow;Individual and Collective Fulfillment Through Accessible Student Housing;Living Tomorrow addresses the French student's housing challenges of high rent, inadequate or sub-standards living conditions, and limited mobility. Proposing a resilient and inclusive solution balancing accessibility with personal and collective well-being, the design includes individual spaces optimized for rest and work activities, and collective spaces fostering community coexistence (kitchens, coworking, relaxation). The modular homes are adaptable, designed for rehabilitation or reversible housing on unused land, supporting flexibility and sustainability through collaborative development.;;Indira Snellen, Killian Pupat;Laurent Bouzige;;;;;;;
FDV_IND_2;FDV_IND_2;IND;2;BA Création d’Intérieurs;Furniture Design / Furniture and Objects Design;2024/2025;ESA Saint-Luc Bruxelles, Brussels, Belgium;www.stluc-bruxelles-esa.be ;Echoes of Us;Individual / Collective;Y;Echoes of Us;Upcycled Pieces for Self-Expression and Collaboration in Care;Western Europe has three times the global average of children in care, and many of them cannot choose their belongings. Echoes of Us involves 6 upcycled wooden pieces that children can customize and assemble into a transportable box, reflecting their individuality. The pieces can also be reconfigured into a shared, abstract structure, promoting creativity and collaboration. Personal and collective elements are interconnected, encouraging both self-expression as well as the act of coming together as a community.;;Thomas Bertrand, Zoé Fredriksen;Jérémy Husquin, Maxence Matthieu;;;;;;;
FDV_IND_3;FDV_IND_3;IND;3;MEDes Product Design;Collaborative Futures;2024;Glasgow School of Art, School of innovation and Technology, Glasgow, Scotland ;https://www.gsa.ac.uk/;Decision making for the energy transition;Individual / Collective;;Decision-making for the Energy Transition ;Future Collective Decision-Making as Experiences of Energy for People and the Planet;Decision-making for the Energy Transition explores the emerging socio-technological characteristics of a hybrid system and how community decision-making might be informed by HACID technology.  Created with project partner NESTA and their Collective Intelligence design team, the project identifies the gap between individual and collective to inform not only the way decisions around energy might be made and its relationships with people locally, but also who is making these decisions and the role of policy makers in the future.;;Noah Albrectsen,  Leo Malins, Gabriella Moretti-Miles, Oona O’brien, Sophie-Anne Val;Aleks Berditchevskaia, Rita Marques, Marianne McAra, Zoe Prosser, Kirsty Ross;;YES - 2:07;https://www.dropbox.com/scl/fi/sdkjtmqcgu95glv4owm0h/GSA_Nesta_Milan_Video_with_sub_eng_final.mp4?rlkey=ytizt5aovbdg5s14xkkjzl60s&e=1&st=tw1d8qip&dl=0;file;https://www.dropbox.com/scl/fi/sdkjtmqcgu95glv4owm0h/GSA_Nesta_Milan_Video_with_sub_eng_final.mp4?rlkey=ytizt5aovbdg5s14xkkjzl60s&e=1&st=tw1d8qip&dl=0;;
FDV_IND_4;FDV_IND_4;IND;4;;Executive Course in User Experience Design;2024;POLI.design, Milano, Italy;https://www.polidesign.net/it/formazione/digital-and-interaction/corso--user-experience-design/;Polidesign_Wheele;Individual / Collective;;Wheele;An Inclusive Autonomous Car-Sharing To Organize Your Daily Life;Wheele is a UX design project sparked by Model 5’s concept car, redefining digital interaction in autonomous car-sharing. It choreographs seamless experiences across public (in-car screens) and private (personal mobile) interfaces, enabling inclusive, smart urban mobility. By merging personal devices with shared screens, Wheele enhances both individual control and collective accessibility, creating a fluid, user-centered experience that adapts to diverse needs in the evolving landscape of transportation.;;Francescopaolo Amendola, Sofia Bernardini, Federica Ciarallo, Giuditta Alevtina Pini, Gabriele Rabbito;Venanzio Arquilla, Davide Genco, Federica Caruso, Gabriele Malaspina, Roberta Tassi;https://www.figma.com/proto/8jc2iTDP0qhJ58Ua3i8nGx/G6---UXD-16?page-id=7291%3A18405&type=design&node-id=7291-21044&viewport=630%2C540%2C0.02&t=gRmtThZK4Zw5XJDC-1&scaling=min-zoom&starting-point-node-id=7291%3A21044&mode=design;No;;;;;
FDV_IND_5;FDV_IND_5;IND;5;Master's Degree Program in Design;;2024;University of Tsukuba, Graduate School of Comprehensive Human Sciences , Tsukuba, Japan;https://www.geijutsu.tsukuba.ac.jp/dpd/;Project 02;Individual / Collective;;Harmony Chairs;Interactive Rocking Chairs for Shared Musical Experiences;Harmony Chairs are interactive rocking chairs that produce sounds in response to rocking motion and synchronization. In modern public spaces, spontaneous interaction among strangers has diminished as people increasingly focus on their personal devices. Harmony Chairs aims to revive such interactions by offering a playful and shared experience. This interactive installation consists of three rocking chairs, equipped with accelerometers and speakers, and designed to respond to users’ movements. Each chair has a unique set of pitches assigned to it. When a person rocks a chair individually, it produces soft, soothing sounds, still the real magic happens when users begin to interact with each other. As two or more users synchronize their movements, the chairs generate distinct bell-like tones that are clear and harmonious. This auditory feedback encourages users to align their movements, creating a shared goal and fostering a sense of connection, turning strangers into collaborators.;;Miwa Yoshihara;Shinichi Koyama;;YES - 2:00;https://drive.google.com/file/d/1Y4p18dZYDI7nX_pxn3gMzeiEP1VUwRBT/view?usp=sharing;file;https://drive.google.com/file/d/1Y4p18dZYDI7nX_pxn3gMzeiEP1VUwRBT/view?usp=sharing;;
FDV_MAT_1;FDV_MAT_1;MAT;1;BA Création d’Intérieurs;Furniture Design / Furniture and Objects Design;2024/2025;ESA Saint-Luc Bruxelles, Brussels, Belgium;www.stluc-bruxelles-esa.be ;Project 01;Materialistic / Spiritual;;Alphablocs;Playfully Learning Letters and Numbers Through Two Simple Shapes;Alphablocs is an educational object for children aged 5-6. Made from two simple yet versatile shapes, obtained from recycled wood panel offcuts, it helps children learn to write letters and numbers turning children’s thoughts into tangible creations. By shaping and assembling forms, kids can explore meaningful links between mind and matter in a playful, enriching way, while fostering creativity through free play, self-expression, and discovery.;;Adèle Remacle, Alix Sironval;Jérémy Husquin, Maxence Matthieu;;;;;;;
FDV_MAT_10;FDV_MAT_10;MAT;10;MSc Architecture, Built Environment, Interiors;Interior Design Studio;2024/2025 ;Politecnico di Milano, School of Architecture, Urban Planning and Construction Engineering, Milan, Italia;https://www.polimi.it/;Architettura_Faroldi;Materialistic / Spiritual;;GRAVITAS;A Sacred Space in Brera;GRAVITAS explores the act of designing a sacred space and what it means to work with codes that deal with a material reality flanked by another dimension that corroborates it and constitutes its essence. Empties and fullnesses alternate, to create pauses and tensions typical of an architecture that identifies suspension and interlocking as the morphological tools of a semantics of contemplation, characteristic of places dedicated to thought and prayer. Depriving the architectural material of its gravity and heaviness and maintaining its being the substance of hoped-for things, the project becomes the graphic link between the earthly tectonic experience and another place of which the experience of architecture attempts to represent its ethereal essence.;;Luca Faroldi, Giulia Grifoni, Letizia Vairetti;Matteo Umberto Poli, Pierluigi Salvadeo;;;;;;;
FDV_MAT_11;FDV_MAT_11;MAT;11;Industrial Design;;2024;Kyushu University, School of Design, Fukuoka, Japan;https://www.design.kyushu-u.ac.jp/;Yorigokoro;Materialistic / Spiritual;;YORIGOKORO;Safe Spaces Against Self-Negation;In Japan, the number of people suffering from mental illness is increasing every year. Self-negation is one of the reasons of mental illness, affecting particularly, those in the “gray zone of developmental disorders”. YORIGOKORO serves as a platform to prepare a better place for one's mind, where self-negation can be handled. Physically, YORIGOKORO presents as a coffer where people can store items that will serve as a source of emotional comfort, when the mind is too tired to move. It also provides a sense of security, telling users that their item “is here, so I'll be okay” even when not in use. YORIGOKORO materializes the sense of security and comfort through “safe objects” and the ritual action of opening and closing the box, which encourages a change of mindset in the user.;;Sara Nakano;Yasuyuki Hirai;;YES;;file;;;
FDV_MAT_12;FDV_MAT_12;MAT;12;MSc Interior and spatial design;Landscape and Interior - Spatial Design 2;2023/2024;Politecnico di Milano, School of Design, Milan, Italy;www.design.polimi.it;FDV_MAT_12;Materialistic / Spiritual;;Courage is RESILIENCE;Design is Courage;Courage is RESILIENCE is designed to transform the abstract concept of courage into a tangible environment. Created at the interaction between mental and physical realms, this installation evokes two distinct perceptions: from the outside, it appears as an obscure enclosed area, while from the inside, it surrounds visitors with a nature-inspired setting that unfolds through personal engagement. In an attempt to find order within chaos, the design merges regular geometric forms with erratic wood branches, creating a captivating and immersive experience.;;Dina Abdelhalim, Bhargavi Baradkar, Giuditta Fucchi, Fatima Mattar;Michele De Lucchi, Francesca Balena Arista, Marco De Santi, Francesco Clerici, Giada Boromello, Nicolò Chierichetti, Alessia Soressi;;YES - 2:00;https://we.tl/t-J9i7uZvXfR;file;https://we.tl/t-J9i7uZvXfR;;
FDV_MAT_2;FDV_MAT_2;MAT;2;MA Design for Body & Environment;;2024;National College of Art and Design (NCAD), Department of Design for the Body, Dublin, Ireland;https://www.ncad.ie/;Burial Shrouds;Materialistic / Spiritual;;Burial Shrouds;Reflective Practices Addressing Grief, Loss, and the Intersections of Personal and Global Tragedies;Burial Shrouds focuses on the principles of making, learning, noticing, and caring through reflective weaving and design practice. In a world facing crisis, biodiversity loss and despair it reflects on our relationship with creativity and spiritual fulfilment, creating multi-dimensional woven pieces from hemp and linen that are tactile, dynamic, and interactive, designed to be touched and explored. Burial Shrouds examines creativity through the lens of grief following an unexpected death, juxtaposing intangible spiritual emotions with tangible, material expressions of loss and remembrance.;"Burial Shrouds focuses on the principles of making, learning, noticing, and caring through reflective weaving and design practice. In a world facing crisis, biodiversity loss and despair it reflects on our relationship with creativity and spiritual fulfilment, creating multi-dimensional woven pieces from hemp and linen that are tactile, dynamic, and interactive; designed to be touched and explored. Burial Shrouds examines creativity through the lens of grief following an unexpected death, juxtaposing intangible spiritual emotions with tangible, material expressions of loss and remembrance.";Dobrawa Brach Kalzuna;Kathy Mooney, Angela O'Kelly, Rachel Tuffy;https://weave-and-dye.squarespace.com/;;;;;;
FDV_MAT_3;FDV_MAT_3;MAT;3;BA Product Design ;International Design Studio;2024;Nottingham Trent University, Department of Product Design, Nottingham, United Kingdom;www.ntu.ac.uk/course/product-design;A second purpose;Materialistic / Spiritual;Y;A Second Purpose;New Life for Household Waste ;A Second Purpose is a collaborative international project that explores design interventions for repurposing discarded objects. Vessels from household waste were selected and additive components to transform them into functional, desirable products for displaying flowers were designed and developed. The components, produced using 3D printing, were designed for the giftware market, focusing on sustainability, consumer ownership, creating nostalgic connections and breathing new life into seemingly obsolete objects.;;Tessa Benning, Siyu Chen, Angela Yu;Grant Baker, Judith van Weert-Deckers, Jingling Zhang;www.internationaldesignstudio.co.uk;;;;;;
